key,note,freq
88,C8,4186.009045
87,B7,3951.06641
86,Bb7,3729.310092
86,A#7,3729.310092
85,A7,3520
84,Ab7,3322.437581
84,G#7,3322.437581
83,G7,3135.963488
82,Gb7,2959.955382
82,F#7,2959.955382
81,F7,2793.825851
80,E7,2637.020455
79,Eb7,2489.01587
79,D#7,2489.01587
78,D7,2349.318143
77,Db7,2217.461048
77,C#7,2217.461048
76,C7,2093.004522
75,B6,1975.533205
74,Bb6,1864.655046
74,A#6,1864.655046
73,A6,1760
72,Ab6,1661.21879
72,G#6,1661.21879
71,G6,1567.981744
70,Gb6,1479.977691
70,F#6,1479.977691
69,F6,1396.912926
68,E6,1318.510228
67,Eb6,1244.507935
67,D#6,1244.507935
66,D6,1174.659072
65,Db6,1108.730524
65,C#6,1108.730524
64,C6,1046.502261
63,B5,987.7666025
62,Bb5,932.327523
62,A#5,932.327523
61,A5,880
60,Ab5,830.6093952
60,G#5,830.6093952
59,G5,783.990872
58,Gb5,739.9888454
58,F#5,739.9888454
57,F5,698.4564629
56,E5,659.2551138
55,Eb5,622.2539674
55,D#5,622.2539674
54,D5,587.3295358
53,Db5,554.365262
53,C#5,554.365262
52,C5,523.2511306
51,B4,493.8833013
50,Bb4,466.1637615
50,A#4,466.1637615
49,A4,440
48,Ab4,415.3046976
48,G#4,415.3046976
47,G4,391.995436
46,Gb4,369.9944227
46,F#4,369.9944227
45,F4,349.2282314
44,E4,329.6275569
43,Eb4,311.1269837
43,D#4,311.1269837
42,D4,293.6647679
41,Db4,277.182631
41,C#4,277.182631
40,C4,261.6255653
39,B3,246.9416506
38,Bb3,233.0818808
38,A#3,233.0818808
37,A3,220
36,Ab3,207.6523488
36,G#3,207.6523488
35,G3,195.997718
34,Gb3,184.9972114
34,F#3,184.9972114
33,F3,174.6141157
32,E3,164.8137785
31,Eb3,155.5634919
31,D#3,155.5634919
30,D3,146.832384
29,Db3,138.5913155
29,C#3,138.5913155
28,C3,130.8127827
27,B2,123.4708253
26,Bb2,116.5409404
26,A#2,116.5409404
25,A2,110
24,Ab2,103.8261744
24,G#2,103.8261744
23,G2,97.998859
22,Gb2,92.49860568
22,F#2,92.49860568
21,F2,87.30705786
20,E2,82.40688923
19,Eb2,77.78174593
19,D#2,77.78174593
18,D2,73.41619198
17,Db2,69.29565774
17,C#2,69.29565774
16,C2,65.40639133
15,B1,61.73541266
14,Bb1,58.27047019
14,A#1,58.27047019
13,A1,55
12,Ab1,51.9130872
12,G#1,51.9130872
11,G1,48.9994295
10,Gb1,46.24930284
10,F#1,46.24930284
9,F1,43.65352893
8,E1,41.20344461
7,Eb1,38.89087297
7,D#1,38.89087297
6,D1,36.70809599
5,Db1,34.64782887
5,C#1,34.64782887
4,C1,32.70319566
3,B0,30.86770633
2,Bb0,29.13523509
2,A#0,29.13523509
1,A0,27.5
